City,Cuisine Style,count
Oslo,Fusion,16
Oslo,Fusion,4
Oslo,Gastropub,12
Oslo,Gastropub,4
Oslo,German,2
Oslo,German,2
Oslo,Gluten Free Options,45
Oslo,Gluten Free Options,183
Oslo,Greek,1
Oslo,Greek,3
Oslo,Grill,9
Oslo,Grill,4
Oslo,Halal,5
Oslo,Halal,6
Oslo,Hawaiian,1
Oslo,Indian,3
Oslo,Indian,1
Oslo,International,32
Oslo,International,8
Oslo,Italian,14
Oslo,Italian,6
Oslo,Jamaican,1
Oslo,Japanese,13
Oslo,Japanese,7
Oslo,Korean,3
Oslo,Korean,3
Oslo,Latin,4
Oslo,Latin,1
Oslo,Lebanese,2
Oslo,Mediterranean,27
Oslo,Mediterranean,4
Oslo,Mexican,2
Oslo,Mexican,1
Oslo,Middle Eastern,19
Oslo,Middle Eastern,4
