City,Cuisine Style,count
Amsterdam,African,18
Amsterdam,African,1
Amsterdam,American,108
Amsterdam,American,6
Amsterdam,Argentinean,8
Amsterdam,Asian,124
Amsterdam,Asian,7
Amsterdam,Australian,1
Amsterdam,Bar,172
Amsterdam,Bar,5
Amsterdam,Barbecue,9
Amsterdam,Barbecue,2
Amsterdam,Belgian,10
Amsterdam,Brazilian,6
Amsterdam,Brew Pub,2
Amsterdam,Cafe,76
Amsterdam,Cafe,26
Amsterdam,Cajun & Creole,1
Amsterdam,Caribbean,8
Amsterdam,Caribbean,2
Amsterdam,Chinese,73
Amsterdam,Chinese,14
Amsterdam,Contemporary,5
Amsterdam,Contemporary,5
Amsterdam,Delicatessen,1
Amsterdam,Delicatessen,8
Amsterdam,Diner,2
Amsterdam,Diner,1
Amsterdam,Dutch,531
Amsterdam,Dutch,2
Amsterdam,Ethiopian,1
Amsterdam,European,147
Amsterdam,European,23
Amsterdam,Fast Food,20
Amsterdam,Fast Food,11
Amsterdam,French,124
Amsterdam,French,20
Amsterdam,Fusion,4
Amsterdam,Georgian,1
Amsterdam,German,3
Amsterdam,Greek,4
Amsterdam,Greek,3
Amsterdam,Grill,9
Amsterdam,Grill,1
Amsterdam,Halal,1
Amsterdam,Hawaiian,1
Amsterdam,Healthy,13
Amsterdam,Healthy,4
Amsterdam,Indian,56
Amsterdam,Indian,12
Amsterdam,Indonesian,12
Amsterdam,Indonesian,1
Amsterdam,International,58
Amsterdam,International,38
Amsterdam,Irish,6
Amsterdam,Italian,288
Amsterdam,Italian,40
Amsterdam,Japanese,74
Amsterdam,Japanese,7
Amsterdam,Korean,1
Amsterdam,Latin,6
Amsterdam,Lebanese,13
Amsterdam,Mediterranean,86
Amsterdam,Mediterranean,16
Amsterdam,Mexican,30
Amsterdam,Mexican,5
Amsterdam,Middle Eastern,13
Amsterdam,Middle Eastern,4
Amsterdam,Moroccan,10
Amsterdam,Moroccan,1
Amsterdam,New Zealand,2
Amsterdam,New Zealand,1
Amsterdam,Peruvian,3
Amsterdam,Pizza,14
Amsterdam,Pizza,6
Amsterdam,Pub,8
Amsterdam,Pub,6
Amsterdam,Russian,1
Amsterdam,Seafood,21
Amsterdam,Seafood,11
Amsterdam,Singaporean,1
Amsterdam,Soups,4
Amsterdam,Soups,1
Amsterdam,South American,3
Amsterdam,Southwestern,1
Amsterdam,Spanish,4
Amsterdam,Spanish,8
Amsterdam,Steakhouse,75
Amsterdam,Steakhouse,4
Amsterdam,Street Food,1
Amsterdam,Sushi,6
Amsterdam,Sushi,2
Amsterdam,Swedish,1
Amsterdam,Swiss,1
Amsterdam,Thai,1
Amsterdam,Thai,7
Amsterdam,Tibetan,1
Amsterdam,Turkish,16
Amsterdam,Turkish,19
Amsterdam,Vegan Options,1
Amsterdam,Vegetarian Friendly,7
Amsterdam,Vegetarian Friendly,13
Amsterdam,Vietnamese,1
Amsterdam,Wine Bar,1
Amsterdam,Wine Bar,2
Amsterdam,Afghani,3
Amsterdam,African,5
Amsterdam,American,24
Amsterdam,American,4
Amsterdam,Arabic,5
Amsterdam,Arabic,4
Amsterdam,Argentinean,36
Amsterdam,Argentinean,24
Amsterdam,Asian,182
Amsterdam,Asian,39
Amsterdam,Australian,4
Amsterdam,Austrian,1
Amsterdam,Balti,5
Amsterdam,Bar,312
Amsterdam,Bar,8
Amsterdam,Barbecue,64
Amsterdam,Barbecue,9
Amsterdam,Belgian,3
Amsterdam,Brazilian,1
Amsterdam,Brazilian,2
Amsterdam,Brew Pub,2
Amsterdam,British,14
Amsterdam,British,4
Amsterdam,Cafe,208
Amsterdam,Cafe,7
Amsterdam,Cajun & Creole,1
Amsterdam,Caribbean,4
Amsterdam,Central American,8
Amsterdam,Central American,1
Amsterdam,Central Asian,1
Amsterdam,Central European,38
Amsterdam,Central European,12
Amsterdam,Chinese,5
Amsterdam,Colombian,2
Amsterdam,Contemporary,34
Amsterdam,Contemporary,8
Amsterdam,Cuban,1
Amsterdam,Danish,1
Amsterdam,Delicatessen,16
Amsterdam,Delicatessen,12
Amsterdam,Diner,12
Amsterdam,Diner,18
Amsterdam,Dutch,246
Amsterdam,Dutch,26
Amsterdam,Eastern European,2
Amsterdam,Ecuadorean,1
Amsterdam,Egyptian,2
Amsterdam,Egyptian,2
Amsterdam,Ethiopian,10
Amsterdam,Ethiopian,3
Amsterdam,European,964
Amsterdam,European,284
Amsterdam,Fast Food,60
Amsterdam,Fast Food,26
Amsterdam,French,55
Amsterdam,French,5
Amsterdam,Fusion,36
Amsterdam,Fusion,10
Amsterdam,Gastropub,13
Amsterdam,Gastropub,7
Amsterdam,German,5
Amsterdam,Gluten Free Options,40
Amsterdam,Gluten Free Options,457
Amsterdam,Greek,14
Amsterdam,Greek,7
Amsterdam,Grill,55
Amsterdam,Grill,20
Amsterdam,Halal,18
Amsterdam,Halal,33
Amsterdam,Hawaiian,2
Amsterdam,Hawaiian,1
Amsterdam,Healthy,50
Amsterdam,Healthy,14
Amsterdam,Indian,2
Amsterdam,Indonesian,29
Amsterdam,Indonesian,32
Amsterdam,International,217
Amsterdam,International,32
Amsterdam,Irish,1
Amsterdam,Israeli,6
Amsterdam,Israeli,1
Amsterdam,Italian,31
Amsterdam,Italian,5
Amsterdam,Jamaican,2
Amsterdam,Jamaican,2
Amsterdam,Japanese,28
Amsterdam,Japanese,4
Amsterdam,Korean,4
Amsterdam,Korean,5
Amsterdam,Kosher,1
Amsterdam,Kosher,2
Amsterdam,Latin,21
Amsterdam,Lebanese,3
Amsterdam,Malaysian,2
Amsterdam,Mediterranean,202
Amsterdam,Mediterranean,33
Amsterdam,Mexican,4
Amsterdam,Middle Eastern,51
Amsterdam,Middle Eastern,10
Amsterdam,Minority Chinese,1
Amsterdam,Minority Chinese,1
Amsterdam,Moroccan,10
Amsterdam,Moroccan,2
Amsterdam,Nepali,10
Amsterdam,New Zealand,1
Amsterdam,Norwegian,1
Amsterdam,Pakistani,6
Amsterdam,Pakistani,2
Amsterdam,Persian,5
Amsterdam,Persian,1
Amsterdam,Peruvian,1
Amsterdam,Pizza,137
Amsterdam,Pizza,25
Amsterdam,Portuguese,3
Amsterdam,Portuguese,7
Amsterdam,Pub,174
Amsterdam,Pub,104
Amsterdam,Romanian,1
Amsterdam,Scandinavian,3
Amsterdam,Scandinavian,1
Amsterdam,Seafood,82
Amsterdam,Seafood,11
Amsterdam,Singaporean,1
Amsterdam,Soups,34
Amsterdam,Soups,5
Amsterdam,South American,16
Amsterdam,South American,35
Amsterdam,Southwestern,4
Amsterdam,Spanish,51
Amsterdam,Spanish,18
Amsterdam,Steakhouse,28
Amsterdam,Steakhouse,5
Amsterdam,Street Food,17
Amsterdam,Street Food,5
Amsterdam,Sushi,61
Amsterdam,Sushi,17
Amsterdam,Swedish,2
Amsterdam,Swiss,3
Amsterdam,Swiss,2
Amsterdam,Taiwanese,1
Amsterdam,Thai,57
Amsterdam,Thai,3
Amsterdam,Tibetan,5
Amsterdam,Tunisian,2
Amsterdam,Turkish,29
Amsterdam,Turkish,4
Amsterdam,Vegan Options,268
Amsterdam,Vegan Options,255
Amsterdam,Vegetarian Friendly,675
Amsterdam,Vegetarian Friendly,612
Amsterdam,Vietnamese,19
Amsterdam,Vietnamese,4
Amsterdam,Wine Bar,12
